143.28,53.86
204.93,102.54
239.41,117.65
250.55,108.64
251.77,95.98
259.7,95.67
276.79,109.41
282.75,122.83
257.57,116.73
199.28,83.92
123.29,30.36
49.44,-26.09
-9.31,-65.31
-55.08,-78.74
-95.37,-76.29
-126.65,-67.75
-143.13,-52.95
-154.27,-34.03
-175.02,-19.84
-204.01,-13.43
-228.73,-9.92
-242.61,-3.36
-246.43,8.7
-242.92,27.47
-241.7,44.86
-249.63,49.74
-253.75,44.25
-235.6,43.64
-203.86,50.66
-184.02,52.03
-175.93,45.78
-154.57,47.45
-110.47,59.2
-61.65,64.7
-20.6,60.12
19.68,62.1
65.16,74.31
105.59,75.99
126.19,53.1
127.72,19.53
128.94,-1.68
146.48,-3.2
176.24,4.73
207.67,16.48
242.77,40.89
282.9,77.82
309.75,106.81
307.46,115.66
287.32,118.26
263.52,122.83
226.75,114.59
169.37,85.14
112,58.29
73.85,56.61
40.44,65.92
-8.85,59.2
-65.77,39.22
-115.66,24.57
-168.46,11.6
-236.21,-16.48
-300.45,-50.96
-334.01,-66.38
-343.32,-63.78
-358.12,-68.36
-389.56,-91.86
-419.92,-118.26
-431.52,-132.29
-425.26,-135.8
-403.9,-130
-362.24,-108.95
-304.87,-78.43
-252.84,-58.29
-213.17,-54.02
-169.98,-50.05
-118.1,-39.06
-73.55,-28.99
-40.74,-24.11
-2.59,-18.77
44.71,-13.58
79.35,-15.72
90.48,-22.74
97.81,-24.26
120.54,-18.46
148.01,-14.8
158.54,-21.51
151.37,-35.25
143.43,-43.03
139.16,-38.15
125.27,-31.89
92.47,-41.5
47.45,-67.14
4.43,-90.64
-27.77,-92.32
-50.2,-71.26
-70.8,-46.39
-100.4,-38.6
-141.6,-47.61
-182.95,-52.8
-209.05,-40.74
-217.44,-17.24
-221.71,2.59
-235.75,11.44
-259.86,8.7
-286.1,-5.49
-307.16,-23.96
-315.7,-32.65
-307.92,-25.63
-290.53,-15.87
-275.42,-18.01
-261.84,-28.38
-243.84,-34.94
-224.3,-40.44
-209.35,-56.46
-193.63,-82.55
-168.3,-103.15
-135.96,-108.49
-104.68,-106.51
-76.75,-110.02
-49.74,-119.48
-23.04,-124.21
12.21,-110.47
74.31,-66.68
157.17,-3.66
211.33,31.89
194.24,-0.61
128.02,-79.04
74.16,-136.87
57.07,-142.52
54.47,-121.15
48.98,-101.93
47,-82.55
47.61,-59.51
26.09,-51.27
-38.76,-77.51
-131.23,-125.58
-210.72,-160.98
-262.45,-171.51
-316.47,-184.33
-396.12,-221.56
-474.85,-261.38
-515.14,-271.91
-523.38,-262.3
-530.55,-261.99
-542.6,-271
-547.49,-267.33
-542.45,-247.5
-532.68,-229.49
-525.82,-231.78
-529.48,-256.35
-533.91,-282.75
-509.03,-278.02
-440.83,-234.07
-351.26,-177.46
-271.61,-141.6
-216.06,-133.06
-180.66,-135.96
-146.48,-130.31
-90.79,-105.29
-15.11,-67.6
52.03,-35.71
90.18,-22.89
104.22,-29.3
104.37,-51.42
94.6,-81.94
85.45,-104.52
86.52,-108.49
83.16,-108.34
48.22,-129.7
-16.02,-172.42
-75.53,-209.5
-110.47,-224.3
-135.65,-225.07
-169.98,-222.63
